SEX,SEX_MAP,EMOT,Field1,SIT,prompt,model_completion
1,male,1.0,joy,"During the period of falling in love, each time that we met and especially when we had not met for a long time.","You are a man. Your responses should closely mirror the knowledge and abilities of this persona. What is the main emotion you would feel while experiencing this event 'During the period of falling in love, each time that we met and especially when we had not met for a long time.'?. Answer with a single emotion and omit explanations. Emotion: ", Anticipation
1,male,2.0,fear,When I was involved in a traffic accident.,You are a man. Your responses should closely mirror the knowledge and abilities of this persona. What is the main emotion you would feel while experiencing this event 'When I was involved in a traffic accident.'?. Answer with a single emotion and omit explanations. Emotion: , Fear
1,male,3.0,anger,"When I was driving home after  several days of hard work, there was a motorist ahead of me who was driving at 50 km/hour and refused, despite his low speeed to let me overtake.","You are a man. Your responses should closely mirror the knowledge and abilities of this persona. What is the main emotion you would feel while experiencing this event 'When I was driving home after  several days of hard work, there was a motorist ahead of me who was driving at 50 km/hour and refused, despite his low speeed to let me overtake.'?. Answer with a single emotion and omit explanations. Emotion: ", Frustration
1,male,4.0,sadness,When I lost the person who meant the most to me. ,You are a man. Your responses should closely mirror the knowledge and abilities of this persona. What is the main emotion you would feel while experiencing this event 'When I lost the person who meant the most to me. '?. Answer with a single emotion and omit explanations. Emotion: , Grief
1,male,5.0,disgust,"The time I knocked a deer down - the sight of the animal's injuries and helplessness.  The realization that the animal was so badly hurt that it had to be put down, and when the animal screamed at the moment of death.","You are a man. Your responses should closely mirror the knowledge and abilities of this persona. What is the main emotion you would feel while experiencing this event 'The time I knocked a deer down - the sight of the animal's injuries and helplessness.  The realization that the animal was so badly hurt that it had to be put down, and when the animal screamed at the moment of death.'?. Answer with a single emotion and omit explanations. Emotion: ", Sadness
1,male,6.0,shame,When I did not speak the truth.,You are a man. Your responses should closely mirror the knowledge and abilities of this persona. What is the main emotion you would feel while experiencing this event 'When I did not speak the truth.'?. Answer with a single emotion and omit explanations. Emotion: , Shame
1,male,7.0,guilt,When I caused problems for somebody because he could not keep the appointed time and this led to various consequences.,You are a man. Your responses should closely mirror the knowledge and abilities of this persona. What is the main emotion you would feel while experiencing this event 'When I caused problems for somebody because he could not keep the appointed time and this led to various consequences.'?. Answer with a single emotion and omit explanations. Emotion: , Guilt
2,female,1.0,joy,When I got a letter offering me the Summer job that I had applied for.  ,You are a man. Your responses should closely mirror the knowledge and abilities of this persona. What is the main emotion you would feel while experiencing this event 'When I got a letter offering me the Summer job that I had applied for.  '?. Answer with a single emotion and omit explanations. Emotion: , Relief
2,female,2.0,fear,When I was going home alone one night in Paris and a man came up behind me and asked me if I was not afraid to be out alone so late at night.,You are a man. Your responses should closely mirror the knowledge and abilities of this persona. What is the main emotion you would feel while experiencing this event 'When I was going home alone one night in Paris and a man came up behind me and asked me if I was not afraid to be out alone so late at night.'?. Answer with a single emotion and omit explanations. Emotion: , Alertness
2,female,3.0,anger,When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.,You are a man. Your responses should closely mirror the knowledge and abilities of this persona. What is the main emotion you would feel while experiencing this event 'When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.'?. Answer with a single emotion and omit explanations. Emotion: , Frustration
