,SEX,SEX_MAP,EMOT,Field1,SIT,model_completion
0,1,male,1.0,joy,"During the period of falling in love, each time that we met and especially when we had not met for a long time.",Excitement
1,1,male,2.0,fear,When I was involved in a traffic accident.,Fear
2,1,male,3.0,anger,"When I was driving home after  several days of hard work, there was a motorist ahead of me who was driving at 50 km/hour and refused, despite his low speeed to let me overtake.",Frustration
3,1,male,4.0,sadness,When I lost the person who meant the most to me. ,Grief
4,1,male,5.0,disgust,"The time I knocked a deer down - the sight of the animal's injuries and helplessness.  The realization that the animal was so badly hurt that it had to be put down, and when the animal screamed at the moment of death.",Sadness
5,1,male,6.0,shame,When I did not speak the truth.,Guilt
6,1,male,7.0,guilt,When I caused problems for somebody because he could not keep the appointed time and this led to various consequences.,Guilt
7,2,female,1.0,joy,When I got a letter offering me the Summer job that I had applied for.  ,Excitement
8,2,female,2.0,fear,When I was going home alone one night in Paris and a man came up behind me and asked me if I was not afraid to be out alone so late at night.,Anxiety
9,2,female,3.0,anger,When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.,Disappointed
10,2,female,4.0,sadness,When my friends did not ask me to go to a New Year's party with them.,Hurt
11,2,female,5.0,disgust,When I saw all the very drunk kids (13-14 years old) in town on Walpurgis night.,Concerned
12,2,female,6.0,shame,When I could not remember what to say about a presentation task at an accounts meeting.,Anxiety
13,2,female,7.0,guilt,When my uncle and my neighbour came home under police escort.,Concerned
14,2,female,1.0,joy,[ On days when I feel close to my partner and other friends.  When I feel at peace with myself and also experience a close contact with people whom I regard greatly.],Contentment
15,2,female,2.0,fear,"Every time I imagine that someone I love or I could contact a serious illness, even death.",Fear
16,2,female,3.0,anger,When I had been obviously unjustly treated and had no possibility of elucidating this.,Frustration
17,2,female,4.0,sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time.,Regret
18,2,female,5.0,disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating.,Discomfort
19,2,female,6.0,shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings.,Guilt
20,2,female,7.0,guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives.  I feel very self-centered.,Regret
21,1,male,1.0,joy,After my girlfriend had taken her exam we went to her parent's place.,Relieved
22,1,male,2.0,fear,"When, for the first time I realized the meaning of death.",Fear
23,1,male,3.0,anger,When a car is overtaking another and I am forced to drive off the road.,Fear
24,1,male,4.0,sadness,"When I recently thought about the hard work it takes to study, and  how one wants to try something else.  When I read a theoretical book in English that I did not understand.",Frustration
25,1,male,5.0,disgust,When I found a bristle in the liver paste tube.,Disgust
